Deparment,Club Name,외국인 가입 가능 여부,영어설명,소개,eng_description,club_id
Sports Division,페더스(배민),O,Badminton Club,"인천대학교 페더스(구 배민)는 배드민턴에 열정을 가진 학생들이 모여 2022년에 신설된 인천대학교의 배드민턴 동아리입니다. 창립 이후 매주 일요일 진행되는 정기 모임과 동아리 MT, 타 대학 배드민턴 동아리 교류전 등 다양한 내.외부 활동을 통해 활발한 활동을 이어오고 있습니다. 그뿐만 아니라 전국 대학 배드민턴 동아리 연합회인 ‘누리 연합회’에 등록하여 경기.서울권 대학들과의 교류와 대회도 진행하고 있습니다. 이러한 활동을 통해 회원들의 운동 능력 향상을 비롯하여 상호 간 친목을 통하여 운동을 통한 즐거움의 추구뿐만이 아닌 스포츠로의 입문을 바탕으로 운동을 통해 삶을 바라보는 안목을 길러 지, 덕, 체를 겸비한 ‘전인’적 삶을 실현하는 것을 페더스 활동의 궁극적 목적으로 삼고 있습니다. 또한 인천 지역 대학 연합 교류전을 바탕으로 인천 지역의 다른 대학 배드민턴 동아리들과 교류 및 발전을 추구하고 있습니다. 스포츠로의 입문을 통한 스포츠적 삶의 자세를 실현하는 것을 목적으로 삼는 만큼 운동능력이 아닌 배드민턴에 대한 열정을 가장 중요시하는 페더스는 배드민턴을 사랑하는 모든 학우분들에게 열려있습니다.

정기 활동은 페더스의 주요 활동으로 매주 일요일 14시부터 18시까지 인천대학교 체육관에서 진행되는 활동입니다. 매주 자율 경기과 기초 기능 연수를 진행하며 실력 향상 및 회원 간 친목의 장이 되는 활동입니다.

동아리 교류전은 인천 지역의 배드민턴 동아리와의 교류 행사로, 대회 형식의 대진 경기와 자율적으로 참여하는 자유 경기로 진행됩니다. 가천대학교 메디컬 캠퍼스, 인하대학교, 연세대학교 국제캠퍼스, 겐트대학교, 경인교육대학교와 교류전을 진행하고 있으며 3개 이상의 동아리가 모여 함께 교류하는 연합 교류전도 진행하고 있습니다. 이러한 교류전은 타 학교와의 교류를 통하여 우리 동아리의 운동 능력에 대한 피드백과 더불어 친목을 통한 안목을 넓히는 소중한 기회입니다.

페더스는 정기 활동과 교류 활동 외에도 매 학기 신입 부원 환영 회식, MT, 정기 활동 후 뒤풀이 등 친목 활동을 통해 회원들 간 소통과 교류의 장을 마련하고 있습니다. 또한 누리 연합회 등의 대회에 참가하며 공동체 의식과 유대감을 형성하고 있습니다. 운동 능력이 아닌, 배드민턴에 대한 열정을 가장 중요시하기에 실력 때문에 주저하지 않으셔도 됩니다!","Feathers (formerly Baemin) is Incheon National University’s badminton club, founded in 2022 by students passionate about badminton. Since its founding, the club has held weekly Sunday practices and participated in various internal and external activities such as MTs and exchange matches with other university badminton clubs. Feathers is also a registered member of the “Nuri Federation,” a nationwide university badminton association, allowing for competitions and exchanges with schools in the Seoul and Gyeonggi area.

These activities not only help improve members’ athletic abilities and promote camaraderie, but also aim to foster a well-rounded life through sports—developing intellect, virtue, and physical strength. Feathers ultimately strives to broaden perspectives and embody holistic growth through participation in sports. The club also seeks to build connections with other Incheon-area universities through regional exchange matches.

Regular practices are held every Sunday from 2:00 PM to 6:00 PM at the INU gym. These sessions include friendly matches and basic skill training, creating a space for both skill development and social bonding.

Club exchange matches are organized with nearby university badminton clubs. These include structured tournaments and casual matches, and have been held with Gachon University (Medical Campus), Inha University, Yonsei University (International Campus), Ghent University, and Gyeongin National University of Education. Multi-club joint events are also held, offering valuable opportunities for performance feedback and building friendships.

Beyond training and matches, Feathers also hosts welcome dinners for new members, MTs, and social gatherings after regular sessions to foster communication and community. The club also takes part in competitions hosted by the Nuri Federation, helping build unity and group spirit. Since Feathers values passion for badminton over skill level, any student who loves the sport is welcome to join without hesitation.",16
Sports Division,바이킹,O,Baseball Club,"바이킹은 인천대학교 유일의 야구동아리로써 야구를 사랑하는 사람들의 끈끈한 정으로 모인 동아리입니다.

1982년도에 창단한 바이킹은 매년 수도권 40개 대학동아리가 모인 전국 대학 아마추어 야구대회에 참가하고 있습니다.

매년 좋은 성적을 기록하여 학교와 동아리의 이름도 빛내고 있습니다. 또한 교내 야구 대회를 매년 개최하여 진행 중이며 야구 이외에도 직관데이 마련 등 다양한 친목활동도 진행하고 있습니다.

야구를 재밌게 즐겨보고 싶은 사람, 야구 관람 좋아하는 사람, 야구를 잘 모르고 해본 적도 없지만 열정을 가지고 야구에 빠져 볼 사람 남자 여자 누구든지 환영합니다!","Vikings is the only baseball club at Incheon National University, formed by passionate individuals brought together by their shared love for the sport.

Founded in 1982, the club participates annually in the National University Amateur Baseball Tournament, which features teams from 40 universities across the Seoul metropolitan area.

With strong performances year after year, Vikings proudly represent both the club and the university. They also host an annual on-campus baseball tournament and organize various social events, such as group outings to professional games.

Whether you're someone who enjoys playing, watching, or simply wants to dive into baseball for the first time with passion—regardless of experience or gender—everyone is welcome.",17
학술분과,DT,X,,,,
학술분과,세치혀,X,,,,
학술분과,TEDxIncheonU,X,,,,
Academic Division,EDA,O,English Debate Club,"안녕하세요, 인천대학교 학우 여러분!!
저희는 영어토론동아리 EDA입니다.

저희 동아리는 사회에서 필수적인 영어를 좀 더 능숙하게 사용하고자 여럿이 모여 토론하고 서로 지식을 나누는 동아리입니다!
저희는 월 1~2회 정도의 정기 모임을 가지며 원하는 사람들끼리 모여 스터디를 만들어 토익이나 토플 등을 공부합니다.
영어 공부에 관심이 없어도 즐거운 대학 생활을 위한 선후배 동기들을 만나고자 가입하셔도 무방합니다!!
저희 동아리는 17호관 310호에 위치하고 있습니다.

편하게 찾아와 주세요!","EDA is the English Debate Association at Incheon National University.

We are a club where students come together to improve their English proficiency through discussion and knowledge-sharing—skills essential in today’s society. We hold regular meetings once or twice a month, and members can also form their own study groups to prepare for tests like TOEIC or TOEFL.

Even if you're not particularly interested in studying English, you're welcome to join just to meet peers and enjoy campus life with fellow students.
The club room is located in Room 310, Building 17.
",18
Academic Division,아르고나우츠,O,Stock Investment Club,"인천대학교 가치투자동아리 Argonauts는 올바른 투자 가치관을 확립하고 주식투자에 관하여 관내 학우들과 함께 가치투자를 바탕으로 기업가치를 산출하여 주식 투자에 상세히 공부하는 것을 주 목적으로 두고 있습니다. 아르고나우츠의 의미는 그리스 신화에 나오는 '아르고호 선원들' 이라는 뜻으로 주식시장은 넓은 바다와 같고 주가의 흐름은 파도와 같기 때문에 서로 협업하여 항해해 나아가자는 의미를 지닙니다. 저희 아르고나우츠는 경제와 주식을 좋아하고, 사랑하는 모든 분들 환영합니다!

24-2학기 기준 동아리 활동은 다음과 같습니다.
1. 투자에 필요한 기본 개념(경제, 재무, 회계, 투자지표 등) 구축
2. 핵심 경제/투자지표를 통한 리서치
3. 매주 금요일 경제/기업 뉴스 스크랩 활동
4. 경제 및 기업 분석에 입각한 매크로/기업 리포트 작성
5. 전국대학생투자동아리연합회 UIC 소속 동아리
6. 동아리 내 모의주식게임 및 수익률 게임 활동
7. 각종 투자대회 및 기업리서치 대회 참가
8. 인천일보 상장기업 기고 활동","Argonauts is Incheon National University’s value investing club, focused on developing sound investment principles and studying stock investments through the analysis of corporate value based on value investing. The name ""Argonauts"" comes from the sailors of the Argo in Greek mythology, symbolizing our journey through the vast sea of the stock market, with stock prices like waves—navigated together through teamwork.

We welcome all students who are interested in or passionate about economics and the stock market.

As of the second semester of 2024, our club activities include:

1. Building foundational knowledge in economics, finance, accounting, and investment metrics
2. Conducting research using key economic and investment indicators
3. Weekly news clipping and analysis of economic and corporate news every Friday
4. Writing macroeconomic and company reports based on in-depth analysis
5. Membership in the University Investment Club (UIC), a national student investment association
6. Participating in simulated stock trading and return competitions within the club
7. Entering investment and corporate research competitions
8. Contributing company analysis articles to Incheon Ilbo (local newspaper)",19
Academic Division,PINCOM,O,Programming Club,"PINCOM은 프로그래밍 언어를 공부하는 학술동아리입니다. 스터디팀으로 활동하고, 매주 또는 격주마다 스터디를 진행합니다.
나이, 학번, 학과에 상관없이 열정을 가지고 같이 공부할 분들을 모집하고있습니다.
관심있으신 분들은 010-7158-8162로 연락주세요!","PINCOM is an academic club focused on studying programming languages. Members participate in study teams that meet weekly or biweekly to learn together.

We welcome anyone with a passion for programming, regardless of age, student ID year, or major.
For those interested, please contact 010-7158-8162.
",20
학술분과,I'M,X,,,,
학술분과,멋쟁이사자처럼,X,,,,
Hobby & Exhibition Division,한아랑,O,Comics/Anime Club,"안녕하세요 중앙동아리 만화패 한아랑입니다. 만화와 애니메이션 좋아하시는 분들을 위한 친목 위주의 동아리입니다.
주 활동은 1학기에 달력, 2학기에 동아리 회지 제작을 합니다. 이외에 부원끼리의 친목활동이 진행됩니다.
만화와 애니메이션 좋아하시는 분들을 위한 친목 위주의 동아리이니 그림을 잘 못 그리셔도 자신있게 지원해 주세요!
동아리호실은 17호관 402호에 위치해있습니다 :)","Hanarang is a central club at INU for fans of comics and animation, focused mainly on building friendships among members.

Our main activities include creating a calendar in the first semester and publishing a club magazine in the second semester. We also hold various social gatherings among members.

You don’t need to be good at drawing—if you love comics and animation, feel free to join!
Our club room is located in Room 402, Building 17.",21
취미전시분과,유스호스텔,X,,,,
취미전시분과,인영천화,X,,,,
취미전시분과,하양검정,X,,,,
Hobby & Exhibition Division,Cookinu,O,Cooking Club,"안녕하세요 인천대학교 요리 동아리 CookINU 쿠키뉴입니다.

쿠키뉴는 매주 각기 다른 메뉴를 선정하여 다같이 요리하는 활동을 주로 진행하고 있고, 부가적으로 바베큐나 피크닉 등 다양한 활동도 진행하고 있습니다.
직접 요리한 음식을 먹으면서 부원들과 친분을 쌓을 수 있는 기회가 많아 부담없이 즐길 수 있습니다.

요리에 관심이 많거나 다양한 사람들과 교류하고 싶은 분, 그리고 가볍게 무언가를 시작하려는 분들에게 쿠키뉴는 언제나 열려있으니 많은 지원 바랍니다.
자세한 활동은 인스타그램 @cook._.inu 과 에브리타임 '동아리 및 학회' 게시판을 참고해주시기 바랍니다.

감사합니다 :)","CookINU is the cooking club at Incheon National University.

We mainly cook together each week, preparing a different menu every time. We also host additional events like barbecues and picnics.

It’s a great opportunity to build friendships while enjoying food you’ve made yourself, so anyone can join without pressure.

Whether you're passionate about cooking, want to meet new people, or simply want to start something light, CookINU is always open to you.
For more details, check out our Instagram @cook.\_.inu or the “Clubs & Societies” board on Everytime.
",22
Hobby & Exhibition Division,보.인.다,O,Board Game Club,"안녕하세요 인천대학교 보드게임 동아리 보인다입니다.
보인다는 유명한 것부터 마이너한 보드게임까지 100여 개가 넘는 보드게임 보유 중이고, 아는 사람은 안다는 trpg도 진행합니다!
보드게임 페스타 및 페스티벌에 참가하면서 타학교 보드게임 동아리와 친분을 쌓고, 정보공유를 하고 있습니다!
학기마다 교내 보드게임 대회도 개최하고 있습니다. (비대면시 대회 개최 불가)

자세한 활동내용은 페이스북을 참고해주시고, 가입 의사나 문의 사항이 있다면 카카오 채널로 문의해주세요!","Boinda is the board game club at Incheon National University.

We own over 100 board games, ranging from popular titles to lesser-known ones, and we also run tabletop RPG (TRPG) sessions for those in the know.

The club participates in board game festivals and events, building connections and sharing knowledge with board game clubs from other universities. We also host an on-campus board game tournament every semester (not held during remote semesters).

For more details, check our Facebook page, and for questions or to join, feel free to contact us via Kakao Channel.
",23
Hobby & Exhibition Division,기우회,O,Go (Baduk) Club,"기우회는 사람과 사람이 모여 바둑을 두는 재미있는 동아리입니다.
기우회의 특징을 꼽으라면 무수히 많은 특징이 존재하지만, 그중 가장 매력적인 점을 꼽으라면 다음과 같은 특징들이 있습니다.
1바둑을 배울 수 있다. (한 달에 1~2번씩 프로기사님이 오십니다!)
2각종 보드게임을 즐길 수 있다. (동아리 중 보드게임이 가장 많은 동아리)
3공강시간에 놀거나, 공부하거나, 편하게 쉴 수 있다.
- 쇼파 / 컴퓨터 / 넓은 책상 / 사물함 / 냉장고 등
4때로는 바둑 알바로 짭짤한 수익을 올릴 수 있다.
5엘리베이터 바로 옆! 정수기 바로 옆! 샤워실 바로 옆!
6쌍인전(인하대), 대학바둑연맹 등 타 대학과의 교류, 바둑 리그
어지러운 생각과 마음을 바둑으로 차분히 정리하고 싶으신 분
여러 학과의 친구, 선배들을 폭 넓게 사귀고 싶으신 분
앞으로의 대학생활에 대해 선배들의 진심 어린 조언들 듣고 싶으신 분
걱정하지 마시고 학생회관 308호로 와주세요~","Giwoohoe is a club where people come together to enjoy the game of Go.

Among its many features, some of the most attractive include:

1. You can learn to play Go (a professional player visits once or twice a month).
2. You can enjoy various board games—the club has the largest board game collection on campus.
3. It's a comfortable space to relax, study, or hang out during breaks—equipped with sofas, computers, large desks, lockers, and a fridge.
4. Members occasionally earn extra income through Go-related part-time jobs.
5. Convenient location—right next to the elevator, water dispenser, and shower room.
6. The club actively exchanges with other universities through events like the INU-Inha Go Match and university Go leagues.

If you're looking to clear your mind with a strategic game, make friends across departments, or get sincere advice from upperclassmen, don’t hesitate to drop by Room 308 in the Student Union Building.
",24
Hobby & Exhibition Division,인유공방,O,DIY Crafts Club,"인유공방은 인천대학교의 공방이자 만들고자 하는 DIY작품을 만드는 동아리입니다!
‘손으로 만들 수 있는 건 다 만들어보자’는 모토를 가지고 있습니다.
아무리 곰손이라도 향수, 캔들, 레진, 비누 등등 만드는 것에 관심이 있거나 좋아한다면 학번, 나이, 성별에 상관없이 들어와서 예쁘게 만들 수 있습니다.
@inugongbang 인스타그램에서 더 다양한 활동들을 만나보세요~","INYU Workshop is the DIY crafting club at Incheon National University.

Our motto is “Let’s try making anything we can with our hands.” From perfumes and candles to resin art and soap, anyone interested in creating is welcome—regardless of skill level, student year, age, or gender.

If you’re curious about what we do, check out more of our activities on Instagram @inugongbang.
",25
Volunteer Division,로타랙트,O,Volunteer Club,"★인천대학교 입학을 진심으로 축하드립니다!!!^∇^☆

- 뻔한 대학 생활, 답답한 캠퍼스! -
우리들의 열정을 가둬두기엔 캠퍼스는 너무 작죠?
더 넓은 세상으로 나와, 그 열정을 활활 태워봅시다!
인맥은 힘!! 봉사활동에 목마르다!! 다양한 지구활동!!

위의 세가지를 모두 잡을 수 있는 로타랙트로 오세요~~
저희 계양로타랙트는 인천대와 함께해온 유서 깊은 봉사동아리입니다.
무려 30년간 꾸준한 활동을 해온 저희는 명실상부한 인천대의 중심동아리라고 자부합니다. 봉사활동, 타 대학 로타랙트와의 교류등 다양한 경험을 할 수 있는 계양로타랙트로 여러분을 초대합니다!!
학과?학번?나이?성별? 전부 제한 NO!!!
언제든지 연락주세요!!","Rotaract is a long-standing volunteer club at Incheon National University, run in partnership with the Gyeyang Rotaract chapter.

For over 30 years, we've been an active and proud part of the INU community. If you’re tired of the ordinary campus life and want to explore a bigger world—building connections, engaging in volunteer work, and joining global activities—Rotaract is the place for you.

We offer opportunities to participate in service projects and network with Rotaract clubs from other universities. There are no restrictions based on major, year, age, or gender. Everyone is welcome!
",26
봉사분과,인천대학교의용소방대,X,,,,
Volunteer Division,초아다솜,O,Good Neighbors Volunteer Club,"안녕하세요, 굿네이버스 인천본부 소속 인천대학교 중앙동아리 초아다솜입니다.
초아다솜은 2011년 사회복지학과 봉사 소모임으로 출발했으며, 2016년 인천대학교 중앙동아리로 성장했습니다.

10년이 넘는 시간 동안 아동 권리 옹호를 목적으로 다양한 활동을 진행하고 있습니다.
동아리는 교육, 캠페인, 홍보분과 총 3개의 분과로 나누어져 있으며, 분과 특성에 맞는 개별 및 단체 활동을 전개하고 있습니다.

NGO 활동을 원하는 인천대학교 학생이라면 학과, 학년 상관없이 모두 지원 가능합니다 :)
굿네이버스와 초아다솜의 자세한 활동이 궁금하다면 인스타그램 @gn_incheon에서 확인해 주세요!

굿네이버스 입사 시, Pre 인턴십 제공 (가산점)

초아다솜과 함께 아동 권리옹호 활동을 전개하고, NGO 경험과 스펙을 쌓고 싶은 유니 여러분!
언제든지 문을 두드려 주세요-!
세상을 위한 좋은 변화를 만들어 갈 여러분을 기다리고 있겠습니다♥","ChoaDasom is a central club at Incheon National University affiliated with Good Neighbors Incheon.

Founded in 2011 as a volunteer group within the Department of Social Welfare, ChoaDasom became an official INU central club in 2016. For over a decade, the club has focused on advocating for children's rights through a wide range of activities.

The club is organized into three teams: Education, Campaign, and PR, each conducting both individual and group activities based on their focus area.

Any INU student interested in NGO work is welcome to join, regardless of major or year.
Follow @gn\_incheon on Instagram to learn more about the activities of ChoaDasom and Good Neighbors.

Members may also receive a pre-internship opportunity (plus points) when applying to Good Neighbors in the future.

If you're passionate about children’s rights, want NGO experience, and hope to contribute to positive social change, we invite you to join us!
",27
Volunteer Division,느을사랑,O,Animal Volunteer Club,"봉사와 사랑이 넘치는 느을사랑

느을사랑이란?

느을사랑은 1992년에 창립되어 현재까지도 활발히 활동하고 있는 역사가 깊은 동아리입니다. 주로 상처를 받은 동물들에 대한 사랑을 실천하는 유기견 봉사를 진행하고 있습니다. 뿐만 아니라 타 학교 봉사동아리와의 연합을 통해 지역봉사 또한 꾸준히 실천하고 있습니다. 그리고 함께하는 대학생활과 개개인의 건전한 발전을 뒷받침하기 위해 다양한 단합 행사를 진행하고 있습니다.

느을사랑의 매력은?

평일, 주말 가릴 것 없이 동아리 방에 항상 사람이 있어 타 학과끼리도 꾸준한 교류를 할 수 있고, 봉사 활동과 자체적인 행사를 통해 선후배간의 끈끈한 유대감을 형성할 수 있습니다.
활기찬 대학 생활을 즐기고 싶은 신입생 여러분! 고민하지 말고, 17호관(학생회관) 326호 느을사랑 동아리방을 찾아 주세요. 느을사랑에 누울사람을 찾습니다.","Neulsarang is a long-standing volunteer club at Incheon National University, founded in 1992 and still actively operating today.

The club is primarily dedicated to volunteering for abandoned and injured dogs, putting love for animals into action. In addition, it participates in regional service projects through joint activities with volunteer clubs from other universities. To support a fulfilling campus life and personal growth, Neulsarang also hosts various bonding events.

What makes Neulsarang special is its welcoming atmosphere—members from different majors frequently gather in the club room, whether on weekdays or weekends, allowing for consistent interdepartmental exchange. Volunteer work and internal events help build strong connections between juniors and seniors.

If you're a freshman looking for a vibrant campus experience, don’t hesitate to visit Room 326 in Building 17 (Student Union Building). Neulsarang is looking for someone to lie down—and belong—with love.",28
Religious Division,JOY선교회,O,Religious Club,"죠이선교회는 예수님을 첫째로, 이웃을 둘째로, 나 자신을 마지막으로 둘 때 참 기쁨이 있다는 죠이 정신 (JOY Spirit : Jesus first, Others second, You third... spell JOY)을 토대로 지역교회와 협력하는 선교단체입니다.

현재 서울, 경인, 전주 등 6개 지부, 50여개의 캠퍼스, 아시아 5개국에서 활동 중입니다.

인천대학교 죠이선교회는 1990년부터 시작되어, 예배와 전도, 기도회, 제자훈련 등의 다양한 캠퍼스 활동과 MT와 여름 전국수양회, 겨울 지부수양회와 해외선교여행을 통해 대학생의 신앙생활을 돕습니다.

인천대학교 학우 여러분, 진실한 공동체 안에서 기쁨(JOY)을 함께 누려요!
크리스챤이 아니어도 좋습니다. 신입생이 아니어도 좋습니다.
누구나, 언제든 두드려 주세요 환영합니다~♡

정기모임 : 매주 목요일 저녁 6시 30분,학생복지회관 2층 음악실
동아리방 : 학생복지회관 423호","JOY Mission is a Christian missionary organization based on the JOY spirit—putting **Jesus first, Others second, and Yourself last**—believing that true joy comes from this order. It works in partnership with local churches.

JOY is active across six regions including Seoul, Gyeongin, and Jeonju, operating in over 50 campuses and five countries in Asia.

The Incheon National University JOY Mission chapter began in 1990 and supports students’ spiritual lives through worship, evangelism, prayer meetings, discipleship training, MTs, national summer retreats, winter regional retreats, and overseas mission trips.

You don’t need to be a Christian or a freshman to join. Anyone is welcome to be part of this joyful and sincere community.

Regular meetings: Every Thursday at 6:30 PM in the music room on the 2nd floor of the Student Welfare Center
Club room: Room 423, Student Welfare Center",29
Religious Division,CFM,O,Religious Club,"정기모임 : 대면수업 학기중 매주 월요일 오후 6시, 동아리실에서 수화연습, 예배, 식사교제 등을 진행하고 있습니다. 방학이나 비대면 학기중에는 상황에 따라 시간과 장소 변동이 있습니다.
정기 공연 : 대면 학기 중 1학기당 1회씩 봄, 가을에 교내에서 수화 공연이 있습니다.
수련회 및 엠티 : 타 학교 CFM과 연합으로 수련회는 방학 중 여름과 겨울 1회씩, 엠티의 경우 학기 중 봄과 가을 1회씩 진행합니다.","Regular Meetings: During semesters with in-person classes, we meet every Monday at 6:00 PM in the club room for sign language practice, worship, and fellowship over meals. During vacation periods or online semesters, the time and location may vary depending on circumstances.

Regular Performances: Once per semester, in spring and fall, we hold sign language performances on campus.

Retreats and MTs: In collaboration with CFM clubs from other universities, we host retreats once each in summer and winter during breaks, and MTs once each in spring and fall during the semester.
",30
Religious Division,IVF,O,Religious Club,"한국기독학생회 IVF는 전국 150여 개 캠퍼스에서 '캠퍼스와 세상 속의 하나님 나라 운동'을 모토로 활동하고 있는 복음주의 학생운동 단체입니다.
복음주의 정신, 사람을 세우는 사역, 동역하는 공동체, 기독교적 지성, 현장 중심의 자발성, 총체적 복음사역 6대 핵심가치를 중심으로 오늘도 우리의 삶을 통해 하나님의 주권과 통치를 드러내기 위해 살아가고 있습니다.

정기 모임은 매주 화요일에 드리는 LGM(예배), 목요일마다 모이는 소그룹, 매일 아침 캠퍼스를 위해 기도하는 DPM이 있으며, 그 밖에 사회․ 선교적인 이슈를 두고 고민하거나 직접 체험하며 다양한 신앙의 경험을 하고 있습니다.
소그룹 모임에서는 말씀을 읽고 나누는 시간은 갖거나, 함께 식사하기도 하고, 원한다면 때로는 여행을 가기도 합니다!

캠퍼스에서 신앙공동체를 만나, 함께 예배드리고, 말씀을 읽고 나누며, 서로의 이야기를 공유하고 싶으신 분, 부담 없이 저희를 찾아주세요!","The Korea InterVarsity Christian Fellowship (IVF) is an evangelical student movement active on over 150 campuses nationwide, operating under the motto “Advancing God’s Kingdom on Campus and in the World.”

IVF is built on six core values: evangelical spirit, raising people through ministry, collaborative community, Christian intellect, field-centered initiative, and holistic gospel mission. Guided by these principles, we strive to reveal God’s sovereignty and reign through our daily lives.

Our regular activities include weekly Tuesday worship services (LGM), Thursday small groups, and daily morning campus prayers (DPM). We also engage with social and mission-related issues through reflection and hands-on experiences to deepen our faith.

Small group meetings may include Bible reading and sharing, shared meals, or even trips together if members wish.

If you’re looking for a faith community on campus where you can worship, read the Word, and share life with others, feel free to stop by and join us!
",31
Religious Division,JDM,O,Religious Club,"Q. JDM이 무엇인가요??
A. JDM이란 Jesus Deciple movement의 약자로 예수 제자 운동의 줄임말입니다!!
JDM은 대학 캠퍼스에서 선교와 제자삼기 운동을 하고 있는 기독교 동아리입니다!!

JDM의 활동들
1. 채플 : 채플은 일주일에 한 번 JDM 인천대 학생들이 함께 모여 예배드리는 시간입니다.
2. 소그룹 : JDM의 가장 중요한 활동중 하나로 리더와 지체가 함께 모여서 성경공부와 삶의 나눔 또는 함께 교제하는 시간을 가지는 활동입니다.
3. 사경회 : 1년에 한 번 지구별로 진행합니다 사경회는 성경을 자세히 공부하는 시간으로써 성경에 대한 깊은 이해를 누릴 수 있는 시간입니다.
4. 계절 집회 : 여름에는 전국이 함께하는 대학 여름집회로 겨울에는 지구별로 진행하는 겨울집회로 진행됩니다! 방학에도 함께 모여서 말씀과 기도로 나아갈 수 있는 시간입니다!","Q. What is JDM?
A. JDM stands for **Jesus Disciple Movement**, a Christian club focused on campus missions and discipleship.

**JDM Activities**

1. **Chapel**: A weekly worship service where JDM members at INU gather to praise and worship together.
2. **Small Groups**: One of the most essential parts of JDM, where members and leaders meet to study the Bible, share life stories, and enjoy fellowship.
3. **Bible Conference**: Held once a year by region, it's a time for in-depth Bible study and gaining a deeper understanding of Scripture.
4. **Seasonal Gatherings**: In summer, a national college conference is held; in winter, regional retreats take place. These gatherings provide a time of worship and prayer even during school breaks.",32
Religious Division,CCC,O,Religious Club,"CCC는 “MOVEMENT EVERYWHERE” 라는 슬로건을 가지고 영적재생산을 해나가는 기독교 동아리입니다. 현재(23년 5월) 인천대CCC는 약 90명의 멤버가 있으며 정기적인 예배와 다양한 소모임들이 있습니다.주 1회 1:1 멘토멘티 활동을 기본으로 진행하며, 모든 멤버가 모이는 캠퍼스모임은 월요일마다 있습니다.

해외선교, 여름수련회, 금식수련회 등 방학 중 활동도 활발히 진행하고 있습니다.이미 크리스천인 당신을 환영하고, 크리스천이 아닌 당신 또한 환영합니다.

하나님의 사랑을 같이 배워가고 행복한 캠퍼스라이프를 즐기고픈 당신, 주저하지말고 함께해요~:)","CCC is a Christian club with the slogan “MOVEMENT EVERYWHERE,” dedicated to spiritual multiplication.

As of May 2023, Incheon National University’s CCC has around 90 members and hosts regular worship services and various small group gatherings. A core part of our activities includes weekly one-on-one mentor-mentee meetings, and all members come together for a campus-wide meeting every Monday.

We also actively engage in missions and retreats during breaks, including overseas missions, summer retreats, and fasting retreats.

Whether you're already a Christian or just curious, you're welcome to join us in learning about God’s love and enjoying a joyful campus life together.
",33
Religious Division,가톨릭학생회,O,Religious Club,"안녕하세요 가톨릭학생회입니다.
저희 동아리는 학생회관 428호에 위치하고 있으며 가톨릭 관련 활동을 하고 있습니다.
매주 정해진 시간에 맞춰 부원들과 회합을 가지며, 또 매달 교구청 신부님과의 월례미사를 가집니다.
인하대학교, 인천가톨릭대학교와 연합 미사를 하기도 하며, 부활절 계란 만들기, 대림관 만들기 등의 활동을 합니다. 또한 MT, 체육대회 등등 친목도모 활동도 많이 준비되어 있습니다.
성당오빠, 성당언니들답게 대 선배님들의 지원이 아주 좋으며, 졸업 후에도 동아리 부원들끼리 모임을 많이 가지는 활발한 동아리입니다.","The Catholic Student Association is located in Room 428 of the Student Union Building and engages in various Catholic-related activities.

We hold regular meetings with members each week and a monthly Mass with a diocesan priest. The club also participates in joint Masses with other universities, such as Inha University and Incheon Catholic University. Seasonal events like making Easter eggs and Advent wreaths are also part of our activities.

We host many social events, including MTs and sports days. True to the warm and supportive nature of the Catholic community, alumni remain actively involved, with many gatherings continuing even after graduation.",34
